sort_date,latest_verified_time,stock,company,relationship_type,evidence_summary,first_or_latest_detail,source_url,confidence,notes
2026-05-31,"2026-05-31",VFS,VinFast Auto Ltd.,"Official NVIDIA press release mention","NVIDIA DRIVE Hyperion release says VinFast is working with Autobrains to bring level 4 vehicles to Southeast Asia.","Mention only.","https://nvidianews.nvidia.com/news/nvidia-drive-hyperion-becomes-the-global-platform-for-a-robotaxi-ready-world","High","No NVIDIA 13F holding in checked filings."
2026-05-31,"2026-05-31",UBER,Uber Technologies Inc.,"Official NVIDIA press release mention","NVIDIA DRIVE Hyperion release says Uber will integrate DRIVE Hyperion-powered AV fleets into its network.","Mention only.","https://nvidianews.nvidia.com/news/nvidia-drive-hyperion-becomes-the-global-platform-for-a-robotaxi-ready-world","High","No NVIDIA 13F holding in checked filings."
2026-05-31,"2026-05-31",IREN,IREN Ltd.,"Official NVIDIA cloud ecosystem mention","NVIDIA AI Cloud ecosystem article names IREN among AI cloud partners expanding infrastructure.","Mention only.","https://blogs.nvidia.com/blog/ai-cloud-ecosystem/","High","No NVIDIA 13F holding in checked filings."
2026-05-31,"2026-05-31",6742.KL,YTL Power International Bhd.,"Official NVIDIA cloud ecosystem mention","NVIDIA AI Cloud ecosystem article names YTL among AI cloud partners supporting regional AI cloud capacity.","Mention only.","https://blogs.nvidia.com/blog/ai-cloud-ecosystem/","High","Listed parent/ticker should be checked on local exchange before trading."
2026-05-15,"2026-05-15 20:08:31 UTC; holdings as of 2026-03-31",COHR,Coherent Corp.,"NVIDIA corporate holding / announced investment","Q1 2026 13F shows 7,788,161 shares, value $1,855,217,832. NVIDIA announced $2B investment on 2026-03-02.","First appears in NVIDIA 2026 Q1 13F.","https://www.sec.gov/Archives/edgar/data/1045810/000104581026000042/information_table.xml","High","Corporate investment, not Jensen personal investment."
2026-05-15,"2026-05-15 20:08:31 UTC; holdings as of 2026-03-31",GENB / CUSIP 370920100,Generate Biomedicines Inc.,"NVIDIA corporate holding","Q1 2026 13F shows 833,325 shares, value $10,416,563.","Ticker/exchange not confirmed from SEC XML.","https://www.sec.gov/Archives/edgar/data/1045810/000104581026000042/information_table.xml","High for holding; medium for ticker","SEC XML identifies issuer/CUSIP but not public ticker."
2026-05-15,"2026-05-15 20:08:31 UTC; holdings as of 2026-03-31",INTC,Intel Corp.,"NVIDIA corporate holding","Q1 2026 13F shows 214,776,632 shares, value $9,478,092,770.","First appears in 2025 Q4 13F; still held in latest 13F checked.","https://www.sec.gov/Archives/edgar/data/1045810/000104581026000042/information_table.xml","High","Corporate holding, not Jensen personal investment."
2026-05-15,"2026-05-15 20:08:31 UTC; holdings as of 2026-03-31",NOK,Nokia Corp. ADR,"NVIDIA corporate holding","Q1 2026 13F shows 166,389,351 sponsored ADRs, value $1,337,770,382.","First appears in 2025 Q4 13F; still held in latest 13F checked.","https://www.sec.gov/Archives/edgar/data/1045810/000104581026000042/information_table.xml","High","Corporate holding, not Jensen personal investment."
2026-05-15,"2026-05-15 20:08:31 UTC; holdings as of 2026-03-31",SNPS,Synopsys Inc.,"NVIDIA corporate holding","Q1 2026 13F shows 4,821,717 shares, value $1,911,714,356.","First appears in 2025 Q4 13F; still held in latest 13F checked.","https://www.sec.gov/Archives/edgar/data/1045810/000104581026000042/information_table.xml","High","Corporate holding, not Jensen personal investment."
2026-03-23,"2026-03-23 ownership table; 2026 proxy filed 2026-05-12",NVDA,NVIDIA Corp.,"Jensen Huang personal beneficial ownership","NVIDIA 2026 proxy lists Jen-Hsun Huang with 870,604,104 total beneficially owned shares, 3.58%, as of 2026-03-23.","Latest Form 4 opened shows 2026-03-02 stock awards and direct/indirect holdings.","https://www.sec.gov/Archives/edgar/data/1045810/000104581026000036/nvda-20260512.htm","High","Only Jensen personal public stock exposure verified in this research."
2025-11-14,"2025-11-14 22:05:18 UTC; holdings as of 2025-09-30",APLD,Applied Digital Corp.,"Former NVIDIA corporate holding","Appeared in 2024 Q3 through 2025 Q3 13F filings; absent from 2025 Q4 and 2026 Q1 13F.","Latest 2025 Q3 13F: 7,716,050 shares, value $177,006,187.","https://www.sec.gov/Archives/edgar/data/1045810/000104581025000219/information_table.xml","High","No longer in latest 13F checked."
2025-11-14,"2025-11-14 22:05:18 UTC; holdings as of 2025-09-30",ARM,Arm Holdings plc ADS,"Former NVIDIA corporate holding","Appeared in 2023 Q4 through 2025 Q3 13F filings; absent from 2025 Q4 and 2026 Q1 13F.","Latest 2025 Q3 13F: 1,101,249 ADS, value $155,815,721.","https://www.sec.gov/Archives/edgar/data/1045810/000104581025000219/information_table.xml","High","No longer in latest 13F checked."
2025-11-14,"2025-11-14 22:05:18 UTC; holdings as of 2025-09-30",RXRX,Recursion Pharmaceuticals Inc.,"Former NVIDIA corporate holding","Appeared in 2023 Q4 through 2025 Q3 13F filings; absent from 2025 Q4 and 2026 Q1 13F.","Latest 2025 Q3 13F: 7,706,363 shares, value $37,607,051.","https://www.sec.gov/Archives/edgar/data/1045810/000104581025000219/information_table.xml","High","No longer in latest 13F checked."
2025-11-14,"2025-11-14 22:05:18 UTC; holdings as of 2025-09-30",WRD,WeRide Inc. ADS,"Former NVIDIA corporate holding","Appeared in 2024 Q4 through 2025 Q3 13F filings; absent from 2025 Q4 and 2026 Q1 13F.","Latest 2025 Q3 13F: 1,738,563 ADS, value $17,211,774.","https://www.sec.gov/Archives/edgar/data/1045810/000104581025000219/information_table.xml","High","No longer in latest 13F checked."
2024-11-14,"2024-11-14 21:18:41 UTC; holdings as of 2024-09-30",SERV,Serve Robotics Inc.,"Former NVIDIA corporate holding","Appeared in 2024 Q2 and Q3 13F filings; absent from 2024 Q4 onward.","Latest 2024 Q3 13F: 3,727,033 shares, value $29,629,912.","https://www.sec.gov/Archives/edgar/data/1045810/000104581024000305/information_table.xml","High","No longer in latest 13F checked."
2024-11-14,"2024-11-14 21:18:41 UTC; holdings as of 2024-09-30",SOUN,SoundHound AI Inc.,"Former NVIDIA corporate holding","Appeared in 2023 Q4 through 2024 Q3 13F filings; absent from 2024 Q4 onward.","Latest 2024 Q3 13F: 1,730,883 shares, value $8,065,915.","https://www.sec.gov/Archives/edgar/data/1045810/000104581024000305/information_table.xml","High","No longer in latest 13F checked."
2024-11-14,"2024-11-14 21:18:41 UTC; holdings as of 2024-09-30",NNOX,Nano-X Imaging Ltd.,"Former NVIDIA corporate holding","Appeared in 2023 Q4 through 2024 Q3 13F filings; absent from 2024 Q4 onward.","Latest 2024 Q3 13F: 59,632 shares, value $362,563.","https://www.sec.gov/Archives/edgar/data/1045810/000104581024000305/information_table.xml","High","No longer in latest 13F checked."
2024-02-14,"2024-02-14 21:12:45 UTC; holdings as of 2023-12-31",TSP,TuSimple Holdings Inc.,"Former NVIDIA corporate holding","Appeared in NVIDIA's first 13F, 2023 Q4 only; absent from 2024 Q1 onward.","2023 Q4 13F: 3,465,372 shares, value $3,041,904.","https://www.sec.gov/Archives/edgar/data/1045810/000104581024000021/information_table.xml","High","No longer in latest 13F checked."
